Categoria;Subcategoria;Curso
Data Science;SQL e Banco de Dados;Curso Introdução ao SQL com MySQL: Manipule e consulte dados
Data Science;SQL e Banco de Dados;Curso Consultas SQL: Avançando no SQL com MySQL
Data Science;SQL e Banco de Dados;Curso Comandos DML: Manipulação de dados com MySQL
Data Science;SQL e Banco de Dados;Curso Procedures SQL: Executando código no MySQL
Data Science;SQL e Banco de Dados;Curso Administração do MySQL: Segurança e otimização do banco
Data Science;SQL e Banco de Dados;Curso Modelagem de banco de dados relacional: Entidades, relacionamentos e atributos
Data Science;SQL e Banco de Dados;Curso Modelagem de banco de dados relacional: Modelo e Álgebra Relacional
Data Science;SQL e Banco de Dados;Curso Modelagem de banco de dados relacional: Diagrama ER e Modelo Relacional
Data Science;SQL e Banco de Dados;Curso Modelagem de banco de dados relacional: Normalização
Data Science;SQL e Banco de Dados;Curso Modelagem de banco de dados relacional: Entendendo SQL
Data Science;SQL e Banco de Dados;Curso Modelagem de banco de dados: Começando com NoSQL
Data Science;SQL e Banco de Dados;Curso MySQL e JSON: Persistindo JSON de maneira eficiente
Data Science;SQL e Banco de Dados;Curso PostgreSQL: Primeiros passos com SQL
Data Science;SQL e Banco de Dados;Curso PostgreSQL: Views, Sub-Consultas e Funções
Data Science;SQL e Banco de Dados;Curso PostgreSQL: Comandos DML e DDL
Data Science;SQL e Banco de Dados;Curso PostgreSQL: Desenvolva com PL/pgSQL
Data Science;SQL e Banco de Dados;Curso PostgreSQL: Triggers, transações, erros e cursores
Data Science;SQL e Banco de Dados;Curso PostgreSQL: Administração e otimização do banco
Data Science;SQL e Banco de Dados;Curso SQL Server: Introdução ao SQL com Microsoft SQL Server 2019
Data Science;SQL e Banco de Dados;Curso SQL Server: Consultas avançadas com Microsoft SQL Server 2017
Data Science;SQL e Banco de Dados;Curso SQL Server: Manipulação de dados com Microsoft SQL Server 2017
Data Science;SQL e Banco de Dados;Curso SQL Server: T-SQL com Microsoft SQL Server 2017
Data Science;SQL e Banco de Dados;Curso SQL Server: Administração do Microsoft SQL Server 2017
Data Science;SQL e Banco de Dados;Curso SQL Server: Persistindo e recuperando documentos JSON
Data Science;SQL e Banco de Dados;Curso SQL Server e XML: Persistindo XML de maneira eficiente
Data Science;SQL e Banco de Dados;Curso Introdução ao SQL com Oracle: Manipule e consulte dados
Data Science;SQL e Banco de Dados;Curso Consultas SQL no Oracle: Projeções, Seleções, Joins e Views
Data Science;SQL e Banco de Dados;Curso Manipulação de dados no Oracle: Comandos DML
Data Science;SQL e Banco de Dados;Curso Administração do Oracle Database: Criação e gerenciamento do banco
Data Science;SQL e Banco de Dados;Curso Administração do Oracle Database: Segurança e otimização do banco
Data Science;SQL e Banco de Dados;Curso Desempenho do Oracle Database: Análise do ambiente
Data Science;SQL e Banco de Dados;Curso Desempenho do Oracle Database: Otimização de consultas
Data Science;SQL e Banco de Dados;Curso Oracle PL/SQL: Procedures, funções e exceções
Data Science;SQL e Banco de Dados;Curso Oracle PL/SQL: Dominando packages
